author_name	author_date	author_gender	author_viaf	title	novel_id	first_edition	num_word	size	time_slot	canonicity
Móricz Zsigmond	1879-1942	M	22179627	Rokonok	HU01150	1932	79454	medium	T5	high
Móricz Zsigmond	1879-1942	M	22179627	Sárarany : ELTeC edition	HU05060	1911	50806	medium	T4	high
Móricz Zsigmond	1879-1942	M	22179627	Tündérkert	HU01164	1922	134599	long	T5	high
Móricz Zsigmond	1879-1942	M	22179627	Úri muri	HU01431	1928	72030	medium	T5	high
Nagy Ignác	1810-1854	M	121393539	Magyar titkok : Regény : ELTeC edition	HU07551	1845	199822	long	T1	low
Nagy Ignác	1810-1854	M	121393539	Szúnyogok	HU18153	1848	47550	short	T1	low
Nagy Ignác	1810-1854	M	121393539	Torzképek	HU19040	1844	149986	long	T1	low
Pálffy Albert	1820-1897	M	47510500	Egy mérnök regénye	HU07695	1885	88038	medium	T3	low
Palotás Fausztin	1855-1922	M	378155284786787061557	Salve Regina	HU16127	1896	27221	short	T3	low
Pekár Gyula	1867-1937	M	2057726	Lavina :  Regény  : ELTeC edition	HU14261	1895	23916	short	T3	low
Pekár Gyula	1867-1937	M	2057726	Livió főhadnagy	HU13872	1901	49003	short	T4	low
Petőfi Sándor	1823-1849	M	59087691	A hóhér kötele : ELTeC edition	HU01009	1846	25762	short	T1	high
Podmaniczky Frigyes	1824-1907	M	25795116	Az alföldi vadászok tanyája : Regény : ELTeC edition	HU07629	1854	52303	medium	T1	low
Prém József	1850-1910	M	162597297	A nagy Pálhalmy fia	HU14593	1903	32193	short	T4	low
Prém József	1850-1910	M	162597297	Félvér : Regény : ELTeC edition	HU16359	1893	34914	short	T3	high
P. Szathmáry Károly	1831-1891	M	57487056	A legszebb herczegnő : Történeti regény Mária Terézia korából : ELTeC edition	HU14197	1888	58893	medium	T3	low
Pulszky Ferenc	1814-1897	M	47510500	A magyar jacobinusok	HU07624	1862	64017	medium	T2	low
Pünkösti Andor	1892-1944	M	50524702	Bárczay Bella, a szeretőm	HU17216	1928	29951	short	T5	low
